,date,FTR,bk_H,bk_D,bk_A,Prob_bk_H,Prob_bk_D,Prob_bk_A,possession_h_moy,possession_a_moy,points_h,points_a,points_h_last_5,points_a_last_5,total_goals_h,total_goals_a,total_goals_taken_h,total_goals_taken_a,total_ontarget_h,total_ontarget_a,total_shot_off_target_h,total_shot_off_target_a,total_blocked_scoring_att_h,total_blocked_scoring_att_a,mean_rating_home,mean_rating_away,H_Arsenal,H_Bournemouth,H_Brighton,H_Burnley,H_Chelsea,H_Crystal Palace,H_Everton,H_Huddersfield,H_Leicester,H_Liverpool,H_Man City,H_Man United,H_Southampton,H_Stoke,H_Swansea,H_Tottenham,H_Watford,H_West Brom,H_West Ham,A_Arsenal,A_Bournemouth,A_Brighton,A_Burnley,A_Chelsea,A_Crystal Palace,A_Everton,A_Huddersfield,A_Leicester,A_Liverpool,A_Man City,A_Man United,A_Southampton,A_Stoke,A_Swansea,A_Tottenham,A_Watford,A_West Brom,A_West Ham
222,2018-01-31,1,1.85,3.6,6.0,0.541,0.278,0.167,48.85,47.21,21,19,3,4,22,16,33,33,78,60,170,47,69,61,6.68,6.63,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
223,2018-01-31,1,2.25,3.55,3.58,0.444,0.282,0.279,43.45,51.77,23,23,7,4,24,30,47,44,80,68,151,70,58,70,6.68,6.65,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
224,2018-01-31,0,2.42,3.42,3.4,0.413,0.292,0.294,57.75,55.82,42,50,11,11,45,45,22,15,133,112,202,61,118,109,6.94,7.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
225,2018-03-02,0,1.37,5.85,12.0,0.73,0.171,0.083,56.25,47.05,39,28,5,4,45,27,34,40,151,70,170,53,115,58,6.9,6.64,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
226,2018-03-02,0,2.1,3.7,4.43,0.476,0.27,0.226,44.71,42.67,25,24,11,5,27,24,36,47,95,84,145,54,80,61,6.66,6.69,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
227,2018-03-02,0,2.4,3.1,3.95,0.417,0.323,0.253,43.19,45.38,20,27,2,9,17,29,34,37,62,82,133,51,64,43,6.64,6.75,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
228,2018-03-02,1,13.5,6.0,1.35,0.074,0.167,0.741,51.99,71.02,31,62,2,10,18,69,21,17,72,171,165,74,56,90,6.78,7.17,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
229,2018-03-02,1,1.85,3.6,5.3,0.541,0.278,0.189,44.87,43.2,31,22,7,9,34,17,32,34,82,49,125,51,72,59,6.77,6.59,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
230,2018-03-02,0,1.22,8.5,23.45,0.82,0.118,0.043,51.21,44.77,50,21,10,1,45,18,17,44,115,70,152,46,110,61,7.0,6.54,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
231,2018-03-02,2,2.96,3.2,3.1,0.338,0.312,0.323,42.03,57.05,19,22,5,4,17,23,32,34,73,81,167,86,59,76,6.63,6.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
