,date,FTR,bk_H,bk_D,bk_A,Prob_bk_H,Prob_bk_D,Prob_bk_A,possession_h_moy,possession_a_moy,points_h,points_a,points_h_last_5,points_a_last_5,total_goals_h,total_goals_a,total_goals_taken_h,total_goals_taken_a,total_ontarget_h,total_ontarget_a,total_shot_off_target_h,total_shot_off_target_a,total_blocked_scoring_att_h,total_blocked_scoring_att_a,mean_rating_home,mean_rating_away,H_Arsenal,H_Aston Villa,H_Burnley,H_Chelsea,H_Crystal Palace,H_Everton,H_Hull,H_Leicester,H_Liverpool,H_Man City,H_Man United,H_Southampton,H_Stoke,H_Sunderland,H_Swansea,H_Tottenham,H_West Brom,H_West Ham,A_Arsenal,A_Aston Villa,A_Burnley,A_Chelsea,A_Crystal Palace,A_Everton,A_Hull,A_Leicester,A_Liverpool,A_Man City,A_Man United,A_Southampton,A_Stoke,A_Sunderland,A_Swansea,A_Tottenham,A_West Brom,A_West Ham
127,2014-12-14,0,1.9,3.94,4.75,0.526,0.254,0.211,56.26,57.06,25,18,15,7,22,16,17,16,57,54,103,47,50,67,6.91,6.87,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
128,2014-12-14,2,2.6,3.56,3.06,0.385,0.281,0.327,50.35,55.85,18,18,5,7,16,13,15,19,44,55,94,30,25,48,6.86,6.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
129,2014-12-20,1,6.5,4.2,1.63,0.154,0.238,0.613,45.73,60.49,18,28,8,15,10,25,18,17,37,63,90,45,36,52,6.69,6.96,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
130,2014-12-20,2,3.1,3.33,2.93,0.323,0.3,0.341,42.87,52.96,9,18,2,4,12,17,21,17,34,47,88,37,33,32,6.74,6.86,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
131,2014-12-20,0,1.32,6.0,12.44,0.758,0.167,0.08,49.85,42.32,32,14,15,6,29,16,12,21,81,54,110,38,69,56,7.06,6.76,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
132,2014-12-20,0,2.5,3.5,3.36,0.4,0.286,0.298,55.82,60.53,20,18,1,5,19,24,12,23,61,71,118,35,45,57,6.87,6.84,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
133,2014-12-20,0,1.53,4.8,8.5,0.654,0.208,0.118,50.2,42.25,21,14,10,10,15,10,20,21,59,42,88,44,51,43,6.8,6.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134,2014-12-20,0,1.75,4.03,5.63,0.571,0.248,0.178,45.17,43.74,22,10,8,1,24,13,19,23,70,45,94,45,64,39,6.9,6.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
135,2014-12-21,1,2.81,3.59,2.63,0.356,0.279,0.38,56.01,63.33,18,23,7,6,16,24,19,18,63,88,124,48,73,76,6.84,6.99,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,2014-12-22,2,6.54,4.1,1.67,0.153,0.244,0.599,51.29,57.14,15,36,4,13,15,33,19,10,50,82,115,42,60,62,6.83,7.14,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137,2014-12-26,2,5.61,3.97,1.85,0.178,0.252,0.541,44.16,57.78,14,19,10,8,11,18,23,21,47,73,101,60,43,77,6.72,6.86,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
138,2014-12-26,0,1.35,5.75,11.05,0.741,0.174,0.09,52.04,44.7,39,25,13,10,35,26,10,19,88,72,120,35,66,67,7.16,6.93,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
139,2014-12-26,2,3.9,3.41,2.21,0.256,0.293,0.452,42.45,54.8,14,23,3,3,16,22,24,12,55,64,98,53,57,47,6.74,6.92,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
140,2014-12-26,2,1.88,3.71,5.03,0.532,0.27,0.199,54.22,55.8,18,15,4,4,24,15,26,21,75,52,107,58,59,67,6.81,6.81,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
141,2014-12-26,2,3.8,3.61,2.23,0.263,0.277,0.448,47.26,57.19,10,24,1,10,13,17,25,21,49,65,103,41,43,57,6.72,6.83,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
142,2014-12-26,2,2.06,3.4,4.58,0.485,0.294,0.218,43.83,45.42,16,9,4,2,14,12,23,22,47,37,83,40,50,35,6.71,6.73,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
143,2014-12-26,0,1.78,4.09,5.5,0.562,0.244,0.182,46.27,40.33,21,19,4,8,18,11,17,19,50,41,100,30,36,40,6.87,6.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144,2014-12-26,2,7.0,4.5,1.6,0.143,0.222,0.625,51.8,60.06,17,35,4,15,15,32,18,12,50,84,127,45,50,73,6.75,7.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
145,2014-12-28,1,2.4,3.3,3.91,0.417,0.303,0.256,44.41,43.05,19,16,7,3,11,15,20,26,44,50,89,37,41,56,6.69,6.68,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
146,2014-12-28,2,2.58,3.4,3.5,0.388,0.294,0.286,43.92,44.39,12,10,5,0,15,14,23,27,42,55,91,55,39,49,6.76,6.72,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
147,2014-12-28,1,1.21,8.55,22.5,0.826,0.117,0.044,53.57,42.84,38,14,15,7,35,11,13,24,89,47,128,56,75,47,7.08,6.71,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
