,date,FTR,bk_H,bk_D,bk_A,Prob_bk_H,Prob_bk_D,Prob_bk_A,possession_h_moy,possession_a_moy,points_h,points_a,points_h_last_5,points_a_last_5,total_goals_h,total_goals_a,total_goals_taken_h,total_goals_taken_a,total_ontarget_h,total_ontarget_a,total_shot_off_target_h,total_shot_off_target_a,total_blocked_scoring_att_h,total_blocked_scoring_att_a,mean_rating_home,mean_rating_away,H_Arsenal,H_Bournemouth,H_Burnley,H_Chelsea,H_Crystal Palace,H_Everton,H_Hull,H_Leicester,H_Liverpool,H_Man City,H_Man United,H_Middlesbrough,H_Southampton,H_Stoke,H_Sunderland,H_Swansea,H_Tottenham,H_Watford,H_West Brom,H_West Ham,A_Arsenal,A_Bournemouth,A_Burnley,A_Chelsea,A_Crystal Palace,A_Everton,A_Hull,A_Leicester,A_Liverpool,A_Man City,A_Man United,A_Middlesbrough,A_Southampton,A_Stoke,A_Sunderland,A_Swansea,A_Tottenham,A_Watford,A_West Brom,A_West Ham
104,2016-05-11,1,2.05,3.6,4.17,0.488,0.278,0.24,47.9,48.24,10,12,7,11,10,12,19,17,29,35,96,26,50,35,6.76,6.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
105,2016-06-11,1,2.0,3.63,4.35,0.5,0.275,0.23,59.91,57.26,23,20,13,9,23,14,10,5,54,59,81,44,41,58,7.11,6.99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
106,2016-06-11,0,5.75,3.9,1.7,0.174,0.256,0.588,46.33,60.1,7,13,0,8,8,11,23,10,27,56,68,39,18,43,6.59,6.79,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
107,2016-06-11,2,1.8,3.72,5.65,0.556,0.269,0.177,41.99,32.56,12,10,5,3,12,10,16,14,30,33,71,23,38,23,6.67,6.62,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
108,2016-06-11,0,1.3,6.3,13.0,0.769,0.159,0.077,55.16,45.04,23,15,13,8,24,14,13,13,69,35,66,32,62,32,6.99,6.79,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
109,2016-06-11,2,5.53,4.04,1.76,0.181,0.248,0.568,50.45,58.0,5,15,1,6,9,13,18,12,45,59,88,35,24,54,6.72,6.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
110,2016-11-19,2,6.75,5.03,1.57,0.148,0.199,0.637,55.19,69.42,11,24,1,6,16,25,19,10,50,68,95,45,44,58,6.84,7.03,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
111,2016-11-19,1,1.6,4.42,6.52,0.625,0.226,0.153,51.32,45.78,18,5,5,1,15,10,13,21,58,46,74,31,38,27,6.88,6.68,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
112,2016-11-19,1,2.62,3.4,3.21,0.382,0.294,0.312,58.0,54.37,18,24,6,11,16,24,13,11,62,56,106,34,55,45,6.96,7.08,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,2016-11-19,1,3.8,3.6,2.39,0.263,0.278,0.418,56.55,65.6,13,26,5,13,12,30,12,14,63,86,98,30,50,64,6.76,7.07,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
114,2016-11-19,2,2.3,3.48,3.79,0.435,0.287,0.264,46.95,53.57,13,12,11,5,13,13,18,16,39,42,79,32,36,42,6.73,6.76,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,2016-11-19,0,2.29,3.4,4.03,0.437,0.294,0.248,39.71,41.72,5,10,4,3,9,10,21,24,28,29,53,26,39,18,6.52,6.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
116,2016-11-19,0,1.65,4.6,7.5,0.606,0.217,0.133,55.44,52.1,21,11,7,8,15,11,6,20,62,31,100,53,58,51,6.96,6.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
