,date,FTR,bk_H,bk_D,bk_A,Prob_bk_H,Prob_bk_D,Prob_bk_A,possession_h_moy,possession_a_moy,points_h,points_a,points_h_last_5,points_a_last_5,total_goals_h,total_goals_a,total_goals_taken_h,total_goals_taken_a,total_ontarget_h,total_ontarget_a,total_shot_off_target_h,total_shot_off_target_a,total_blocked_scoring_att_h,total_blocked_scoring_att_a,mean_rating_home,mean_rating_away,H_Arsenal,H_Aston Villa,H_Bournemouth,H_Chelsea,H_Crystal Palace,H_Everton,H_Leicester,H_Liverpool,H_Man City,H_Man United,H_Norwich,H_Southampton,H_Stoke,H_Sunderland,H_Swansea,H_Tottenham,H_Watford,H_West Brom,H_West Ham,A_Arsenal,A_Aston Villa,A_Bournemouth,A_Chelsea,A_Crystal Palace,A_Everton,A_Leicester,A_Liverpool,A_Man City,A_Man United,A_Norwich,A_Southampton,A_Stoke,A_Sunderland,A_Swansea,A_Tottenham,A_Watford,A_West Brom,A_West Ham
149,2015-12-19,2,2.86,3.33,3.1,0.35,0.3,0.323,42.87,52.66,20,16,6,8,16,20,21,30,48,62,101,32,29,50,6.75,6.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,2015-12-20,1,2.15,3.46,4.08,0.465,0.289,0.245,49.21,51.77,11,21,1,4,13,23,24,21,57,71,115,40,41,51,6.64,6.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
151,2015-12-20,0,4.33,3.6,2.13,0.231,0.278,0.469,46.3,60.89,22,24,9,10,16,20,15,17,59,76,96,58,60,77,6.85,6.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
152,2015-12-21,0,2.5,3.7,3.12,0.4,0.27,0.321,57.42,57.74,30,29,8,7,28,26,13,16,86,93,120,48,73,75,7.13,6.96,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
153,2015-12-26,1,2.7,3.3,3.17,0.37,0.303,0.315,46.01,51.77,6,22,2,4,13,23,30,21,44,73,130,40,50,54,6.73,6.86,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
154,2015-12-26,1,2.5,3.48,3.77,0.4,0.287,0.265,48.52,48.35,19,26,11,10,22,18,31,15,68,73,118,41,55,45,6.71,6.85,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155,2015-12-26,1,1.52,4.6,8.0,0.658,0.217,0.125,52.94,47.04,17,25,7,12,19,19,25,15,69,64,112,48,69,61,6.77,6.87,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
156,2015-12-26,0,1.99,3.87,4.0,0.503,0.258,0.25,50.51,40.5,24,35,7,13,20,34,20,24,80,79,131,42,81,53,6.84,7.01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
157,2015-12-26,0,1.22,7.95,16.0,0.82,0.126,0.062,50.35,43.4,29,9,6,6,27,15,18,33,99,55,122,41,81,48,6.94,6.65,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
158,2015-12-26,0,3.64,3.53,2.2,0.275,0.283,0.455,53.9,56.72,20,33,1,10,19,30,19,14,76,91,149,51,50,73,6.82,7.13,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
